ရဲသာရွာသစ်၊ သားရိုး|yethar ywarthit, tharyoe
ဝမ်းတွင်းမြို့နယ်|Wan Twin Township
အိုးဘိုတောင်ပိုင်း ၊အိုးဘို|Oe Bo Taung  Paing ,O Bo
အုပ်စု ၊ကျောင်းကုန်းမြို့|Group,Kyaung Kone City
ဆူးတပ်ကြီးရွာ/အုပ်စု|Sue Tat Gyi Village/Group
မြို့သစ်မြို့နယ်|Myo Thit Township
ဆင်တပ်ရွာ/အုပ်စု|Sin Tat Village/Group
ငါန်းဇွန်မြို့နယ်|Ngan Zune Township
သံခွာဈေးတန်း|Than Kwar Zayy Tan
ကျောက်ဆည်|Kyauk Sae
ကျုံပိုရွာ မှတ်တိုင်|Kyone Po Village Hmat Tine
အုပ်စု အင်္ဂပူမြို့|group Ingapu City
ထနှောင်းပင်လှရွာ|Hta Naung Pin Hla Village
ကျောက်ဆည်မြို့|Kyauk Se City
ဘုရားကြီးကုန်း အရှေ့|Phayar Kyi Kone East
ကြာကန်အုပ်စု|Kyar Kan Group
ရဲဘော်ဟောင်းရွာ|Yae Baw Haung Village
အောင်လံမြို့နယ်|Aung Lan Township
ပပ၀တီ(၃)လမ်း|Pa Pa Wadi (3) Street
ရယက၅ ပုသိမ်မြို့|YaYa Ka 5 Pathein City
ခြောက်ကွက်ရွာ|Chauk Kwat Village
တန့်ဆည်မြို့နယ်|Tant Sae Township
ငွေသောင်ရွာ ၊ သနပ်ကုန်း|Ngwe Thaung Village , Thanat Kone
အုပ်စု၊ စလင်းမြို့နယ်|Group ,Salin Township
ဏပူရွာ|Na Pu Village
အမ်းမြို့နယ်|Ann Township
အထက်ပန်းကုံးကွင်း ပန်းကုံး|A Htet Pan Kone Kwin Pan Kone
ကွင်းအုပ်စု လပွတ္တာမြို့|Kwin Group Laputtar City
သာပေါင်းလေးရွာ|Thar Paung lay Village
တောင်သာမြို့နယ်|Taung Thar Township
လွယ်မွန်းရွာ၊ ဘန်းယဉ်|lwelmon village, bannyin
ဆီဆိုင်မြို့နယ်|sisaing township
အုန်းပင်စု|ohnpinsu
တွံတေးမြို့|tontay city
ကရစ်လူးလေးရွာ၊ ကရစ်လူးအုပ်|kayitluulay village, kayitluu oke
စု၊ အင်္ဂပူမြို့နယ်|su, ingapu township
ချောင်းကမ်းကြီးရွာ|chaungkangyi village
နတ်တလင်းမြို့|nattalin city
ပြည်(၁)၊ ချောင်းကြီး|pyi(1), chaunggyi
ညောင်တုန်းမြို့|nyaungtone city
ကြို့ကုန်းရွာ၊ ကြို့ကုန်း|kyoekone village, kyoekone
လယ်ဝေးမြို့နယ်|lewe township
အုန်းနှဲရွာ၊|ohnnae villae,
ကဝမြို့|kawa city
ညောင်ခြေထောက်ရွာ|nyaungchaytouk village
ကသာမြို့နယ်|kathar township
ညောင်ကုန်းကြီး၊ ပေါင်|nyaungkonegyi, paung
မြို့နယ်|township
ဆီဆုံကုန်းရွာ၊ အုတ်တွင်း|sisonekone village, oketwin
ပုလောကုန်းရွာ|Pulaw Kone Village
ပုလောမြို့။|Pu Law City.
တောင်စွန်းကျေးရွာ|Taung Soon Village
သထုံမြို့နယ်။|Thaton Township.
ရသာကျေးရွာ၊|Ya Thar Village,
အရာတော်မြို့နယ်|A Yar Taw Township
ပေချောင်း၊ ကျုံသွင်|Pay Chaung, Kyon Thwin
အုပ်စု၊ မအူပင်မြို့|Group, Maubin City
ဆားမှော်ကျေးရွာ|Sar Mhaw Village
မိုးကောင်းမြို့နယ်|Moe Kaung Township
ကြာကန်စုရွာ|Kyar Kan Su Village
မှော်ဘီမြို့|Mhawbi City
အောက်ရွာ၊ အင်းမြို့|Auk Village, Ann City
ဟိုပုံးမြို့နယ်|Hopon Township
ဟဲခ်ရွာ၊ ရမ့်ပ်ချီး|Helk Village, Rampche
အမ်းမြို့နယ်|Ann Township
ထင်းခြေရွာ|Htinchay Village
ဖားအုပ်စု၊ ဟင်္သာတမြို့နယ်|hpar Group, Hinthada Township
လယ်ဦးကုန်းရွာ၊ ကျုံ|Leloukone Village, Kyon
ပင်လောင်းမြို့နယ်|Pinlaung Township
ကောင်ထိုရွာ|Kaunghto Village
သီတာရပ်၊ မြစ်ကြီးနား |Thidar Yat, Myitkyinar
မုဒုံမြို့နယ်|Mudon Township
ထုံမံကျေးရွာ၊|Hton Man Village,
ညောင်လေးပင်|Nyaung Lay Pin
ပိန်းကလုပ် - ၁|Painkalop - 1
အင်းခေါင်းအုပ်စု၊ မိုးညို|Inkhaung Group, Monyo
အင်းခေါင်းရွာ|Inkhaung Village 
မော်လမြိုင်မြို့|Mawlamyaing City
ကော့ခနိကျေးရွာ|Kawkani
ကျွန်း(၂) ၊စလင်းမြို့နယ်|Kyun (2),sa lin Tonwship
ပြန်လွင့်ရပ် ၊ဆင်ဖြူ|Pyan lwint yat,Sin phyu
ကျောက်ဆည်မြို့နယ်|Kyouk Sel Township
ပနန်ရွာ|Pa nan village
မြန်အောင်မြို့နယ်|Myan Aung Township
ကပ်ခိုရွာ၊ကပ်ခိုအုပ်စု၊|Kat khoe village,kat khoe group,
ပြင်စည်|Pyin Si 
နွားထိုးကြီးမြို့နယ်|Nwar htoe gyi Township
အမှတ်(၆)ရပ်ကွက်|No(6)ward
မအူပင်မြို့|Ma auupin city
ပြည်မြို့|Pyi city
ဘပြင်ကြီးရွာ၊ရွာမအုပ်စု|Ba pyin gyi village,ywar ma group
စု၊ပန်းတနော်မြို့|Su,pan ta naw city
ကံစုရွာ၊ရုံးတောအုပ်|Kan su village,yone taw oak
တွံတေးမြို့|Tontay City
ကွန်တာကျေးရွာ|Kon tar village
ပုဏ္ဏားကျွန်းမြို့နယ်|Ponnar kyun township
မြစ်ချောင်းရွာ|Myint choung village
၃ရပ်ကွက်၊ စွယ်တော်လမ်း|3 Ward, SwalTaw Street
ဘားအံမြို့|Hpa-An City
တမခါးကျေးရွာ|TaMaKhar Village
ငါ့သရောက်မြို့နယ်|NgaThaYout Township
ကျောင်းရွာ|Kyaung Village
မိတ္ထီလာမြို့နယ်|Meikhtila Township
အောင်သီရိရွာ|AungThiri Village
ပုဗ္ဗသီရိမြို့နယ်|PopeBaThiri Township
မြေနီကျေးရွာ၊|MyayNi Village,
ညောင်ဦးမြို့နယ်|NyaungOo Township
တောင်ဦးရွာ|TaungOo Village
ကျောက်ပန်းတောင်းမြို့|KyaukPanTaung City
အင်းလျက်၊ ကွမ်းခြံကုန်း|InnHlyat, KuChanKone
မှော်ဘီမြို့|MhawBi City
ရုံပင်ရွာ၊ကျောက်ဝအုပ်စု|YonePinVillage,KyaukWa Group
ကြို့ပင်ကောက်မြို့|KyoePinKauk City
စိန်ပန်းကျင်းရွာ|SeinPanKyin Village
နွားထိုးကြီးမြို့နယ်|NaHtoeGyi Township
ပဲဒီးရွာ၊ကြာပင်အုပ်စု|PalDee Village, KyarPin Group
ဒက္ခိဏသီရိမြို့|DatKhiNaThiri City
ဝါးမရမ်း|War Ma Yan
ပဲခူး|Pago
မြွေဟောက်ရွာ၊|Mway Hauk Village,
မြွေဟောက်အုပ်စု|Mway Hauk Group
ရေနံရပ်ကွက်|Ye Nan Ward
သန်လျင်မြို့|Thanlyin City
လ/မြောက်ရွာ|La /North Village
လပွတ္တာမြို့နယ်|Latt Put Tar Township
အမှတ်(၁၈၈၅)၊ (၁၄)လမ်း|No(1885), (14) Street
မြင်သာယာရပ်ကွက်၊မော်လမြိုင်|MyinTharYar Ward, Mawlamyine
နကျားထူးရွာ|NaKyarHtoo Village
နတ်မောက်မြို့နယ်|NatMout Township
ဇယားရွာ၊ ကျီးရိုး|ZaYar Village, KyeeYoe
အုပ်စု၊ဖြူးမြို့နယ်|Group, Phyu Township
ကျောင်းရွာ အုပ်စု |Kyaung Village Group
ကံလှအောက်ရွာ ရေးမြို့|Kan Hla Aut VIllage Yay Myo
နယ်|Nal
ချောင်းနယ်ရွာ၊|ChaungNal Village,
လက်ပန်အုပ်စု၊ရမ်းဗြဲမြို့နယ်|LatPanGroup, YanBwyal Township
စိုင်တီကျေးရွာ|Sai Ti Village
ပဲခူးမြို့|Bago City
ဖ၂၊ ကံသာယာ|Pha 2 ,Kan Thar Yar
ချမ်းမြသာစည်မြို့နယ်|Chan Mya thar Si Township
လွန်းကွန်း၊ လိပ်သေ|Loon Koon, Lake Thay 
အုပ်စု၊ ဖြူးမြို့နယ် |Group, Phyuu Township 
တောင်ဘက်ရွာ|Taung Bat Village
ရွှေကျင်မြို့နယ်|Shwe Kyin Township
ဖိုကြီးရွာ၊ လေးတိုင်|Pho Gyi Village, Lay Tai
စင်အုပ်စု၊ မြို့သစ်|Sin Group, Myo Thit
ကလိန်ကျေးရွာ၊|Ka Lein Village,
ထန်းတပင်မြို့နယ်|Htan Ta Pin Township
 ကန့်ဖြူရွာ|Kant Phyu Village
သာစည်မြို့|Tharsi City
မြောင်းကူးရွာ|Myaung Kuu VIllage
ရေတာရှည်မြို့နယ်|Yay Tar Chay Township
ကလန်ရွာ ကန်ပြည့်|KaLan Village Kan Pyae
အုပ်စု ပွင့်ဖြူမြို့နယ်|Group Pwint Phyu Township
မယ်ဇလီချောင်းရွာ|Mel Za Li Chaung Village
စစ်ကိုင်းမြို့နယ်|Sagaing Twonship
ဒုတ်ကြီးရွာ၊ ပြည်တော်သာ|Doke Gyi Village, Pyi Taw Thar
ရပ်ကွက်၊ သာယာဝတီမြို့|Ward, Tharyarwaddy City
ကောင်ထိုရွာ|Kaung Hto Village
ပင်လောင်းမြို့နယ်|Pin Laung Township
သရက်တောရွာ၊|Tha Yat Taw Village
ပေါက်မြို့နယ်|Pauk Township
ကျိုက္ကသာ၊|Kyaik Ka Thar,
ကျိုက်ထိုမြို့။|Kyaik Hto City.
သူဌေးကုန်းရွာ|ThuHtayKone Village
ကျောက်တံခါးမြို့နယ်|Kyaukdakhar Township
ကနီအေးကျေးရွာ|KaNiAye Village
တောင်သာမြို့နယ်|TaungThar Township
အဆရ(၁၃) ကေတု|ASaYa(13) KayTu
မြို့သစ်၊တောင်ငူမြို့|MyoeThit, TaungNgu City
ညောင်ပင်ရွာ၊|NyaungPin Village,
ပန်းတောင်းမြို့နယ်။|Paung Township.
အတ္တရံမြို့သစ်|Attayan MyoeThit
ကျိုက်မရောမြို့နယ်|KyikeMaYaw Township
တောကျောင်းကုန်းရွာ|TawKaungKone Village
မင်းဘူးမြို့နယ်|MinBu Township
အောင်ဆုပန်ကျေးရွာ|AungSuPan Village
ကဝမြို့နယ်|KaWa Township
အကွက်(၅)၊ နှစ်ကရင်ရွာ|AKwat(5), HnitKaYin Village
၆၈၅ စင်္ကြာနွယ်စဉ်|685 SaKyarNwel Sin
မဟာအောင်မြေမြို့နယ်၊မန္တလေး|MaharAungMyay Township, Mandalay
သဘော့ငူ၊ ကန်ကြီးထောင့်|ThaBawtNgu, Kangyidaunt
တိုးရွာ|Toe Village
ဒေးဒရဲမြို့နယ်|Day Da Yair Township
အမှတ် (၁) ရပ်ကွက်|No(1) Ward
ရေနီမြို့|Yay Ni City
သပြေစမ်း၊ တ ရွာ|Tha Pyay San, Ta Village
မကွေးမြို့နယ်|Magway Township
တလိုင်းစု၊ ကျုံတုံးကလေး|Ta Laing Su, Kyone Tone Kalay
ပန်းတနော်မြို့|Pann Ta Naw City
မိုင်းပျိုးတောင်ရွာ မိုင်းပျိုး|Mine Pyo Taung VIllage Mine Pyo
အုပ်စု ညောင်ရွှေမြို့|Group Nyuang Shwe City
အမှတ် (၃) ရပ်ကွက်|No (3) Ward
လယ်ဝေးမြို့|Lewe City
ချောင်းခွရွာ ရင်းတိုက်|Chaung Gwa Village Yin tike
မှော်အုပ်စု သံကုန်းမြို့နယ်|Hmaw Group Than Kone Township
အလယ်မန်ရွာသင်း|Alalman Ywar Thin
ဘုတ်ပြင်မြို့နယ်|Bote Pyin Township
ကျီးတော်ကုန်းရပ်၊|Kyi Taw Kone Yat,
မိတ္ထီလာမြို့|Meiktila City
တူရွင်းတိုင်ရွာ|Tu Yin Tine Village
ညောင်ဦးမြို့|Nyaung Oo CIty
ဇရပ်ကွင်းကျေးရွာ၊|Zayat Kwin Village,
လှည်းကူးမြို့နယ်။|Hlae Gyuu Township.
ကမ်းရင်ရွာ၊မကွေး|Kan Yin Village, Magway
မြို့|City
သာစည်ရွာ၊ ဇီးကုန်း|Thar Si Village, Zee Kone 
အုပ်စု၊ ပျဉ်းမနားမြို့|Group, Pyin Ma Nar City
